,alpha,beta_1,beta_2,beta_3,beta_4,beta_5
DOV,1.911546721924063e-17,0.7653312874581302,0.08002013405653327,0.1264789229778384,-0.08790299220196582,-0.07610256119277013
DRI,6.333483603355364e-18,0.5924861548850411,0.07411262248548751,-0.1430344151721976,-0.06276534506820657,-0.07605064823463326
DTE,6.580375869305965e-19,0.6754022529458837,-0.2706375810196447,0.08023989177336066,0.2472180190872501,-0.12316068756898282
DUK,1.4584053917002607e-17,0.5882171713490651,-0.29030906840607396,0.020127040421554943,0.2417965209918999,-0.11168756245823833
DVA,-1.019817125272718e-18,0.4713729590622669,-0.09722697774809197,0.007820032727765387,0.018892381964316356,-0.03323814573984468
DVN,-6.576083429609491e-18,0.6096679741785029,-0.03926341225797847,0.39342747244485377,0.08825173095277442,-0.12118376842597853
EA,9.772330165411226e-18,0.5454163302552653,0.035324842381827294,0.06469488005261928,-0.1333265965167173,0.02666592253799183
EBAY,-8.544478655439576e-19,0.5963559534455427,0.06425482109634323,0.0330648339496943,-0.13346416076669615,0.06041182465236556
ECL,2.352058258366744e-17,0.7237013690449491,-0.08145971075350607,0.03114631426957496,-0.02165276069414826,-0.07502834975967632
ED,6.668543268618467e-18,0.6085920802647475,-0.28177423280880026,-0.0015131227878507209,0.24749837995603818,-0.13651230470246928
EFX,1.2300928601226867e-17,0.7438832317847847,0.03521932744005325,0.011474244603303088,-0.08061205662527698,0.003296184525642562
EG,5.9678320528791666e-18,0.6228646881115317,0.06145818320002597,-0.014852894142801255,0.09960725094695518,0.04269189545862624
EIX,1.1042491563021192e-17,0.6522414649778683,-0.2769091263690658,0.12382176489853054,0.29244961901154076,-0.1882129596852367
EL,-2.5990780257926607e-18,0.5701663248673149,-0.009344679977033867,-0.039394253929913595,-0.004698854520913164,-0.062368154338654926
ELV,-2.6897577505235648e-18,0.5243612397489303,-0.07620893442107797,0.0054049166961519166,0.07924983336510308,0.018283699145238037
EMN,8.320302279405819e-18,0.7026257383262156,0.09920837510378373,0.16008648788624175,-0.004803093065495385,-0.058866303273344064
EMR,6.57424903470755e-18,0.7893099844750915,-0.00761554169209451,0.13254669524788618,-0.04395957750739005,-0.036159744157283985
EOG,1.9974446931861625e-17,0.595616298721091,-0.023139660348656943,0.373883404938354,0.0455849942212566,-0.12177882314765347
EQIX,-1.2664045890469942e-17,0.5574886380089034,0.09527753923465093,0.08274311326686598,-0.09434826844525508,0.010634994534512384
EQR,1.770748067816312e-18,0.7019353168200626,0.34225208163536697,-0.19941528451877916,0.13003362108291436,-0.08104338346751881
EQT,1.488166198000974e-17,0.6532330755813494,-0.04163790143279017,0.28484859777231697,0.06799573188161968,-0.11602268810062491
ES,-7.883294044509578e-18,0.6107610340035593,-0.2902966081637654,0.08803745691984903,0.1854925191203123,-0.1574922929072147
ESS,2.748158430564705e-18,0.7044345530596112,0.25841024225635656,-0.16252747618760355,0.10944526248074297,-0.08244018223923968
ETN,-4.5663493639416466e-18,0.7440641573407881,0.03287573307642683,0.14142118530336262,-0.08989394633760865,-0.09114966095463069
ETR,-4.857600502093195e-18,0.6001457317993842,-0.28847915788421735,0.13596099850587662,0.20144317238388754,-0.14081173507516054
EVRG,-1.816095505967445e-17,0.6819650808317514,-0.20857293226560308,0.029437750709982155,0.20466411847594235,-0.14578038495560053
EW,-4.6417599109355574e-18,0.42086556606906456,-0.13936966097672007,-0.000739166973006293,0.0012130235291825178,0.02369035954721227
EXC,-1.7543820478353614e-17,0.6071594636034716,-0.19313671358321205,0.10824633598629538,0.20891657363429902,-0.12523600451296668
EXPD,-6.1712841327440964e-18,0.6651446526960224,0.03874830491473345,0.01819803251232511,-0.10210476276133362,-0.07938979719463937
F,-4.961747025568171e-18,0.5676632619453951,0.20735656037497463,0.030025790875848585,-0.1386221091226003,0.011895273795589297
FAST,5.7688996967281444e-18,0.6713590451651572,0.04306639061071989,-0.028495286614704216,-0.13527502276453462,-0.09680031301679651
FCX,2.37732083445465e-17,0.608470396136687,0.06920624281287704,0.34768984684515164,-0.03695893908373575,-0.10956223806817324
FDS,7.394176590691875e-18,0.6159960440897991,0.05599651412603315,0.03976618470791399,-0.08244360394769915,0.026176339532077417
FDX,1.1715046936903583e-17,0.719361809806387,0.05757023298565396,-0.02047211093571568,-0.046821736884517434,-0.08132834747464647
FE,-5.3122143641311644e-18,0.5892152788448414,-0.25455235243858204,0.12383685765841489,0.23496011172183762,-0.12262038205365788
